2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Total de homens;casos100k
0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;52093.0;0.6398812380422193
0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;12272.0;1.8108068955526584
0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;15995.0;1.389323052342746
0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;19760.0;1.6869095816464235
0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;12960.0;2.5720164609053495
0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;22019.0;1.0092294028894238
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16393.0;0.6777960782718911
0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;14308.0;1.5531326685925513
0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;47747.0;0.4654160936231014
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;7542.0;2.946462771442883
0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8494.0;1.3081129163069356
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;41568.0;0.5345992643914123
1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;41580.0;0.5344449788894233
0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;28159.0;0.7891694386243199
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6034.0;1.8414171546422127
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3425.0;3.2441200324412005
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2858.0;3.8877225721172537
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;10344.0;1.074160006874624
1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19891.0;0.55859992514761
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;14872.0;0.7471161317315164
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;7555.0;2.9413927494668726
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;13714.0;0.8102020643948601
