Município;2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Total de homens;casos100k
210005 Açailândia;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;3.0;52093.0;0.64
210043 Alto Alegre do Maranhão;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;12272.0;1.81
210047 Alto Alegre do Pindaré;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;15995.0;1.39
210060 Amarante do Maranhão;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;19760.0;1.69
210070 Anajatuba;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;12960.0;2.57
210090 Araioses;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;22019.0;1.01
210095 Arame;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;16393.0;0.68
210100 Arari;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;14308.0;1.55
210120 Bacabal;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;47747.0;0.47
210125 Bacabeira;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;7542.0;2.95
210130 Bacuri;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;8494.0;1.31
210140 Balsas;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;41568.0;0.53
210160 Barra do Corda;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;41580.0;0.53
210170 Barreirinhas;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;28159.0;0.79
210177 Bela Vista do Maranhão;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6034.0;1.84
210173 Belágua;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3425.0;3.24
210180 Benedito Leite;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2858.0;3.89
210190 Bequimão;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;10344.0;1.07
210200 Bom Jardim;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;19891.0;0.56
210203 Bom Jesus das Selvas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;14872.0;0.75
210207 Bom Lugar;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;7555.0;2.94
210220 Buriti;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;13714.0;0.81
210230 Buriti Bravo;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11303.0;0.98
210270 Cantanhede;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;10257.0;2.17
210275 Capinzal do Norte;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5345.0;2.08
210290 Carutapera;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11339.0;0.98
210300 Caxias;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;75111.0;0.44
210320 Chapadinha;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;4.0;36230.0;1.23
210330 Codó;1.0;3.0;1.0;2.0;1.0;1.0;0.0;0.0;1.0;10.0;57432.0;1.93
210340 Coelho Neto;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;23004.0;0.48
210360 Coroatá;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;30636.0;0.36
210375 Davinópolis;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;6252.0;1.78
210380 Dom Pedro;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;10960.0;2.03
210390 Duque Bacelar;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;5367.0;6.21
210400 Esperantinópolis;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;9077.0;3.67
210410 Fortaleza dos Nogueiras;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;5968.0;1.86
210467 Governador Nunes Freire;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;12863.0;0.86
210480 Grajaú;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;31605.0;0.7
210490 Guimarães;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;6146.0;1.81
210500 Humberto de Campos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;13687.0;0.81
210510 Icatu;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;13093.0;1.7
210530 Imperatriz;1.0;4.0;0.0;1.0;3.0;0.0;1.0;0.0;1.0;11.0;119230.0;1.03
210540 Itapecuru Mirim;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;4.0;31030.0;1.43
210547 Jenipapo dos Vieiras;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;7959.0;1.4
210550 João Lisboa;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;9976.0;2.23
210560 Joselândia;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;7818.0;1.42
210570 Lago da Pedra;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;22983.0;0.48
210590 Lago Verde;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;7730.0;2.87
210592 Lagoa do Mato;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;5623.0;3.95
210600 Lima Campos;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5608.0;1.98
210632 Maracaçumé;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9586.0;1.16
210660 Matões;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;15534.0;0.72
210667 Milagres do Maranhão;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4197.0;2.65
210675 Miranda do Norte;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11759.0;0.94
210680 Mirinzal;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7286.0;1.52
210735 Nova Olinda do Maranhão;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;9539.0;5.82
210750 Paço do Lumiar;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;50744.0;0.66
210810 Paulo Ramos;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;10137.0;2.19
210825 Pedro do Rosário;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11830.0;0.94
210830 Penalva;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;17397.0;1.28
210845 Peritoró;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;10119.0;2.2
210850 Pindaré-Mirim;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;15220.0;1.46
210860 Pinheiro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;38066.0;0.58
210870 Pio XII;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;11004.0;1.01
210880 Pirapemas;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8656.0;1.28
